sku,product type,price,availability,number of products sold,revenue generated,customer demographics,stock levels,order date,lead times,order quantities,shipping date,shipping times,shipping carriers,shipping costs,supplier name,location,lead time,production volumes,manufacturing lead time,manufacturing costs,inspection results,defect rates,transportation modes,routes,costs
SKU36,skincare,9.813002579,34,963,7573.402458,Female,18,12-12-2020,23,28,31-12-2020,3,Carrier B,2.107951267,Supplier 2,Delhi,26,671,19,45.53136424,Fail,3.805533379,Air,Route C,403.8089742
SKU37,skincare,23.39984475,5,963,2438.33993,Female,25,12-09-2017,8,21,15-10-2017,9,Carrier A,1.532655274,Supplier 3,Kolkata,24,867,15,34.34327747,Pending,2.610288085,Sea,Route A,183.932968
SKU38,cosmetics,52.07593068,75,705,9692.31804,Non-binary,69,23-10-2020,1,88,07-11-2020,5,Carrier B,9.235931437,Supplier 5,Mumbai,10,841,12,5.930693646,Pending,0.613326899,Air,Route B,339.6728699
SKU39,skincare,19.12747727,26,176,1912.465663,Female,78,07-01-2016,29,34,09-02-2016,3,Carrier A,5.562503779,Supplier 2,Kolkata,30,791,6,9.005807429,Fail,1.451972204,Air,Route B,653.6729946
SKU40,skincare,80.54142417,97,933,5724.95935,Female,90,26-05-2018,20,39,21-06-2018,8,Carrier C,7.22959514,Supplier 1,Kolkata,18,793,1,88.1794071,Pending,4.213269431,Road,Route A,529.808724
SKU41,skincare,99.11329162,35,556,5521.205259,Female,64,08-04-2016,19,38,04-05-2016,8,Carrier B,5.773263744,Supplier 4,Chennai,18,892,7,95.33206455,Fail,0.045302262,Sea,Route A,275.5243711
SKU42,skincare,46.52916761,98,155,1839.609426,Female,22,25-08-2018,27,57,24-09-2018,4,Carrier C,7.526248327,Supplier 5,Bangalore,26,179,7,96.42282064,Fail,4.939255289,Road,Route A,635.6571205
SKU43,haircare,11.74327178,6,598,5737.425599,Unknown,36,26-07-2016,29,85,05-08-2016,9,Carrier B,3.694021268,Supplier 5,Mumbai,1,206,23,26.27736596,Pending,0.372304768,Air,Route A,716.0441198
SKU44,cosmetics,51.35579091,34,919,7152.286049,Female,13,08-10-2018,19,72,21-10-2018,6,Carrier C,7.577449657,Supplier 2,Delhi,7,834,18,22.55410662,Fail,2.96262632,Rail,Route A,610.4532696
SKU45,haircare,33.78413803,1,24,5267.956808,Male,93,17-12-2017,7,52,17-01-2018,6,Carrier B,5.215155009,Supplier 2,Chennai,25,794,25,66.31254444,Pass,3.219604612,Rail,Route A,495.305697
SKU46,haircare,27.0822072,75,859,2556.767361,Non-binary,92,24-11-2020,29,6,20-12-2020,8,Carrier B,4.070955837,Supplier 3,Chennai,18,870,23,77.32235321,Pending,3.648610593,Road,Route B,380.4359371
SKU47,skincare,95.71213588,93,910,7089.47425,Male,4,01-04-2019,15,51,20-04-2019,9,Carrier B,8.978750756,Supplier 1,Kolkata,10,964,20,19.71299291,Pending,0.380573587,Rail,Route A,581.6023551
SKU48,haircare,76.03554443,28,29,7397.071005,Non-binary,30,11-05-2017,16,9,23-05-2017,3,Carrier C,7.095833157,Supplier 2,Mumbai,9,109,18,23.12636358,Fail,1.698112541,Rail,Route B,768.651914
SKU49,cosmetics,78.89791321,19,99,8001.613207,Unknown,97,01-10-2019,24,9,04-11-2019,6,Carrier C,2.505621033,Supplier 5,Delhi,28,177,28,14.14781544,Pass,2.825813985,Rail,Route A,336.8901685
SKU50,cosmetics,14.20348426,91,633,5910.88539,Female,31,12-06-2020,23,82,12-07-2020,10,Carrier A,6.247860915,Supplier 2,Delhi,20,306,21,45.17875792,Fail,4.754800805,Rail,Route B,496.2486503
SKU51,haircare,26.70076097,61,154,9866.465458,Male,100,06-11-2018,4,52,25-11-2018,1,Carrier A,4.783000558,Supplier 5,Bangalore,18,673,28,14.19032834,Pending,1.772951172,Road,Route A,694.9823176
SKU52,skincare,98.03182966,1,820,9435.762609,Male,64,16-05-2017,11,11,27-05-2017,1,Carrier B,8.63105218,Supplier 1,Mumbai,10,727,27,9.166849149,Pending,2.122471619,Air,Route C,602.8984988
SKU53,skincare,30.34147071,93,242,8232.334829,Male,96,10-08-2019,25,54,14-08-2019,3,Carrier B,1.013486566,Supplier 1,Delhi,1,631,17,83.34405899,Pending,1.410347576,Air,Route B,750.7378407
SKU54,haircare,31.14624316,11,622,6088.02148,Non-binary,33,21-07-2019,22,61,19-08-2019,3,Carrier B,4.305103471,Supplier 1,Kolkata,26,497,29,30.18602338,Pass,2.478771976,Road,Route B,814.0699966
SKU55,haircare,79.85505834,16,701,2925.67517,Male,97,09-10-2019,11,11,10-11-2019,5,Carrier A,5.014364955,Supplier 2,Delhi,27,918,5,30.32354526,Fail,4.548919659,Sea,Route B,323.012928
SKU56,skincare,20.98638604,90,93,4767.020484,Non-binary,25,27-03-2016,23,83,25-04-2016,5,Carrier C,1.774429714,Supplier 1,Mumbai,24,826,28,12.83628457,Pass,1.173755495,Air,Route B,832.2108087
SKU57,haircare,49.26320535,65,227,1605.8669,Unknown,5,17-12-2017,18,51,08-01-2018,1,Carrier B,9.160558535,Supplier 2,Delhi,21,588,25,67.77962299,Pending,2.51117483,Rail,Route A,482.1912386
SKU58,skincare,59.84156138,81,896,2021.14981,Non-binary,10,03-08-2019,5,44,28-08-2019,7,Carrier A,4.938438565,Supplier 3,Delhi,18,396,7,65.04741509,Fail,1.73037472,Road,Route B,110.3643352
SKU59,cosmetics,63.82839835,30,484,1061.618523,Non-binary,100,14-11-2017,16,26,02-12-2017,7,Carrier B,7.293722597,Supplier 1,Kolkata,11,176,4,1.900762244,Fail,0.447194015,Air,Route A,312.5742736
SKU60,skincare,17.02802792,16,380,8864.08435,Female,41,15-06-2020,27,72,22-07-2020,8,Carrier C,4.381368158,Supplier 4,Mumbai,29,929,24,87.21305782,Fail,2.853090617,Rail,Route A,430.169097
SKU61,haircare,52.0287499,23,117,6885.589351,Unknown,32,22-10-2020,23,36,12-11-2020,7,Carrier C,9.030340423,Supplier 4,Kolkata,14,480,12,78.70239397,Fail,4.367470538,Air,Route A,164.3665282
SKU62,cosmetics,72.79635396,89,270,3899.746834,Unknown,86,10-08-2019,2,40,30-08-2019,7,Carrier C,7.291701389,Supplier 2,Mumbai,13,751,14,21.04864273,Pass,1.874001404,Sea,Route C,320.8465158
SKU63,skincare,13.01737679,55,246,4256.949141,Non-binary,54,12-05-2018,19,10,03-06-2018,4,Carrier A,2.457933528,Supplier 3,Bangalore,18,736,10,20.07500398,Pending,3.63284329,Sea,Route A,687.2861779
SKU64,skincare,89.63409561,11,134,8458.730878,Female,73,27-09-2016,27,75,20-10-2016,6,Carrier C,4.585353468,Supplier 1,Delhi,17,328,6,8.693042426,Fail,0.159486315,Air,Route C,771.2250847
SKU65,skincare,33.69771721,72,457,8354.579686,Male,57,09-11-2018,24,54,03-12-2018,8,Carrier C,6.580541348,Supplier 5,Kolkata,16,358,21,1.597222743,Fail,4.911095955,Rail,Route C,555.8591037
SKU66,skincare,26.03486977,52,704,8367.721618,Female,13,06-03-2016,17,19,07-04-2016,8,Carrier A,2.216142729,Supplier 5,Kolkata,24,867,28,42.08443674,Fail,3.448063288,Road,Route A,393.8433486
SKU67,skincare,87.75543235,16,513,9473.798033,Unknown,12,09-03-2019,9,71,28-03-2019,9,Carrier C,9.147811545,Supplier 1,Mumbai,10,198,11,7.057876147,Pass,0.131955444,Sea,Route C,169.2718014
SKU68,haircare,37.93181238,29,163,3550.218433,Non-binary,0,24-04-2018,8,58,04-05-2018,8,Carrier B,1.194251865,Supplier 2,Bangalore,2,375,18,97.11358156,Fail,1.983467872,Rail,Route A,299.7063031
SKU69,skincare,54.86552852,62,511,1752.381087,Non-binary,95,10-04-2019,1,27,22-04-2019,3,Carrier B,9.70528679,Supplier 4,Kolkata,9,862,7,77.62776581,Pending,1.362387989,Air,Route A,207.6632062
SKU70,haircare,47.91454182,90,32,7014.887987,Female,10,30-07-2020,12,22,25-08-2020,4,Carrier B,6.315717755,Supplier 1,Bangalore,22,775,16,11.44078182,Pass,1.830575599,Road,Route C,183.2728987
SKU71,cosmetics,6.381533163,14,637,8180.337085,Female,76,01-06-2020,2,26,09-06-2020,6,Carrier A,9.228190317,Supplier 2,Bangalore,2,258,10,30.66167748,Pending,2.078750608,Road,Route A,405.1670679
SKU72,cosmetics,90.20442752,88,478,2633.121981,Non-binary,57,17-04-2020,29,77,17-05-2020,9,Carrier A,6.59961416,Supplier 1,Bangalore,21,152,11,55.7604929,Pending,3.213329607,Rail,Route B,677.9445698
SKU73,cosmetics,83.85101768,41,375,7910.886916,Male,17,22-08-2020,25,66,09-09-2020,5,Carrier B,1.512936837,Supplier 4,Chennai,13,444,4,46.8702388,Fail,4.620546065,Road,Route A,866.4728001
SKU74,haircare,3.170011414,64,904,5709.945296,Female,41,20-04-2017,6,1,26-04-2017,5,Carrier A,5.23765465,Supplier 4,Delhi,1,919,9,80.58085216,Fail,0.396612724,Rail,Route A,341.5526568
SKU75,skincare,92.99688423,29,106,1889.07359,Non-binary,16,05-03-2018,20,56,09-04-2018,10,Carrier C,2.473897761,Supplier 1,Chennai,25,759,11,48.06478264,Pass,2.030069089,Air,Route C,873.129648
SKU76,haircare,69.10879955,23,241,5328.375984,Male,38,18-08-2016,1,22,22-09-2016,10,Carrier A,7.054538337,Supplier 2,Bangalore,25,985,24,64.3235978,Pending,2.180037452,Rail,Route A,997.4134501
SKU77,haircare,57.44974296,14,359,2483.760178,Unknown,96,23-07-2018,28,57,22-08-2018,4,Carrier B,6.780946626,Supplier 1,Kolkata,26,334,5,42.95244475,Pass,3.055141818,Road,Route B,852.5680989
SKU78,haircare,6.306883176,50,946,1292.458418,Unknown,5,12-03-2020,4,51,11-04-2020,5,Carrier B,8.467049771,Supplier 5,Mumbai,25,858,21,71.12651472,Pending,4.096881332,Sea,Route C,323.5922034
SKU79,haircare,57.05703122,56,198,7888.723268,Non-binary,31,26-10-2020,25,20,01-11-2020,1,Carrier B,6.496325364,Supplier 3,Bangalore,5,228,12,57.87090292,Pending,0.165871627,Air,Route C,351.5042193
SKU80,skincare,91.12831835,75,872,8651.672683,Unknown,39,05-05-2019,14,41,15-05-2019,2,Carrier C,2.833184679,Supplier 3,Chennai,8,202,5,76.96122802,Fail,2.849662199,Sea,Route B,787.7798505
SKU81,haircare,72.81920693,9,774,4384.4134,Unknown,48,07-12-2016,6,8,09-01-2017,5,Carrier B,4.066277502,Supplier 3,Delhi,28,698,1,19.78959294,Pending,2.547547122,Rail,Route B,276.7783359
SKU82,skincare,17.03493074,13,336,2943.381868,Unknown,42,01-11-2016,19,72,08-11-2016,1,Carrier A,4.708181874,Supplier 2,Mumbai,6,955,26,4.465278435,Pending,4.137877049,Road,Route C,589.9785556
SKU83,haircare,68.91124621,82,663,2411.754632,Unknown,65,05-01-2019,24,7,02-02-2019,8,Carrier B,4.949839578,Supplier 1,Bangalore,20,443,5,97.7305938,Fail,0.773006134,Road,Route A,682.9710182
SKU84,haircare,89.10436729,99,618,2048.2901,Unknown,73,15-05-2017,26,80,18-06-2017,10,Carrier A,8.381615625,Supplier 5,Chennai,24,589,22,33.80863651,Pass,4.843456577,Air,Route B,465.457006
SKU85,cosmetics,76.96299442,83,25,8684.613059,Female,15,13-05-2017,18,66,19-05-2017,2,Carrier C,8.249168705,Supplier 5,Chennai,4,211,2,69.92934552,Fail,1.374429,Road,Route B,842.68683
SKU86,skincare,19.99817694,18,223,1229.591029,Unknown,32,13-08-2019,14,22,23-08-2019,6,Carrier B,1.45430531,Supplier 1,Mumbai,4,569,18,74.60897,Pass,2.051512931,Rail,Route A,264.2548898
SKU87,haircare,80.41403665,24,79,5133.846701,Male,5,24-05-2020,7,55,30-06-2020,10,Carrier A,6.575803798,Supplier 3,Chennai,27,523,17,28.69699682,Fail,3.693737788,Sea,Route B,879.3592177
SKU88,cosmetics,75.27040698,58,737,9444.742033,Male,60,05-02-2019,18,85,05-03-2019,7,Carrier A,3.801253133,Supplier 2,Mumbai,21,953,11,68.18491906,Pending,0.722204402,Sea,Route A,103.916248
SKU89,cosmetics,97.76008558,10,134,5924.682567,Unknown,90,12-06-2019,1,27,13-07-2019,8,Carrier B,9.929816245,Supplier 1,Kolkata,23,370,11,46.60387338,Pending,1.907665734,Rail,Route B,517.4999739
SKU90,skincare,13.8819135,56,320,9592.63357,Non-binary,66,11-05-2018,18,96,26-05-2018,7,Carrier B,7.674430708,Supplier 3,Bangalore,8,585,8,85.67596334,Pass,1.219382224,Rail,Route B,990.0784725
SKU91,cosmetics,62.11196546,90,916,1935.206794,Male,98,08-07-2019,22,85,20-07-2019,7,Carrier B,7.471514084,Supplier 4,Delhi,5,207,28,39.7728825,Pending,0.626001858,Rail,Route B,996.778315
SKU92,cosmetics,47.71423308,44,276,2100.129755,Male,90,04-06-2020,25,10,16-06-2020,8,Carrier B,4.469500026,Supplier 2,Mumbai,4,671,29,62.6126904,Pass,0.333431825,Rail,Route B,230.0927825
SKU93,haircare,69.290831,88,114,4531.402134,Unknown,63,15-11-2016,17,66,07-12-2016,1,Carrier C,7.006432059,Supplier 4,Chennai,21,824,20,35.63365234,Fail,4.165781795,Air,Route A,823.5238459
SKU94,cosmetics,3.037688725,97,987,7888.356547,Unknown,77,06-05-2016,26,72,27-05-2016,9,Carrier B,6.942945942,Supplier 2,Delhi,12,908,14,60.38737861,Pass,1.463607498,Rail,Route B,846.665257
SKU95,haircare,77.90392722,65,672,7386.363944,Unknown,15,21-04-2017,14,26,18-05-2017,9,Carrier B,8.63033887,Supplier 4,Mumbai,18,450,26,58.89068577,Pending,1.21088213,Air,Route A,778.8642414
SKU96,cosmetics,24.42313142,29,324,7698.424766,Non-binary,67,28-06-2017,2,32,29-07-2017,3,Carrier C,5.352878044,Supplier 3,Mumbai,28,648,28,17.80375633,Pending,3.872047681,Road,Route A,188.7421411
SKU97,haircare,3.526111259,56,62,4370.91658,Male,46,24-02-2019,19,4,15-03-2019,9,Carrier A,7.904845611,Supplier 4,Mumbai,10,535,13,65.76515593,Fail,3.376237835,Road,Route A,540.1324229
SKU98,skincare,19.75460487,43,913,8525.95256,Female,53,06-07-2020,1,27,10-08-2020,7,Carrier B,1.409801095,Supplier 5,Chennai,28,581,9,5.604690864,Pending,2.908122169,Rail,Route A,882.1988635
SKU99,haircare,68.5178327,17,627,9185.185829,Unknown,55,10-11-2020,8,59,15-12-2020,6,Carrier B,1.311023756,Supplier 2,Chennai,29,921,2,38.07289852,Fail,0.346027291,Rail,Route B,210.743009
SKU100,cosmetics,15.12679638,90,630,9529.881721,Female,26,08-03-2017,22,82,09-04-2017,10,Carrier A,6.132759561,Supplier 2,Delhi,22,309,22,46.90740017,Fail,4.957261294,Rail,Route B,540.0377571
SKU101,haircare,33.96397006,12,612,20785.94968,Non-binary,26,19-04-2016,21,58,16-05-2016,3,Carrier B,3.875280907,Supplier 1,Kolkata,24,457,31,28.09134137,Pass,2.25746413,Road,Route B,816.4209501
SKU102,skincare,10.40064336,35,966,10047.02148,Female,19,08-06-2016,22,26,07-07-2016,3,Carrier B,2.121848644,Supplier 2,Delhi,26,708,16,43.55675235,Fail,3.573418309,Air,Route C,372.0366794
SKU103,cosmetics,77.77734827,84,276,21466.54812,Unknown,85,02-12-2020,3,44,21-12-2020,7,Carrier C,7.434333846,Supplier 2,Mumbai,12,730,11,19.97541547,Pass,1.707266568,Sea,Route C,310.3295199
SKU104,haircare,26.68690777,72,856,22843.99305,Non-binary,89,31-03-2020,28,4,27-04-2020,8,Carrier B,3.691065104,Supplier 3,Chennai,19,879,22,81.27330788,Pending,3.833101608,Road,Route B,355.4944367
SKU105,cosmetics,60.68868156,32,491,29798.14265,Non-binary,91,22-07-2016,14,29,09-08-2016,7,Carrier B,6.579625027,Supplier 1,Kolkata,11,194,6,2.049086856,Fail,0.468864122,Air,Route A,325.0272929
SKU106,haircare,10.75935297,6,593,6380.296313,Unknown,29,24-12-2017,31,90,05-01-2018,9,Carrier B,3.901343479,Supplier 5,Mumbai,3,236,23,28.33265345,Pending,0.337971247,Air,Route A,786.5213883
SKU107,cosmetics,2.370086421,7,395,936.1841361,Female,58,12-01-2017,14,29,31-01-2017,4,Carrier B,10.0262764,Supplier 1,Mumbai,15,171,9,59.85974282,Fail,0.887439939,Air,Route A,129.2975075
SKU108,haircare,66.48587236,91,120,7978.304683,Unknown,64,19-09-2016,18,61,11-10-2016,1,Carrier C,6.86187732,Supplier 4,Chennai,21,795,21,35.08890687,Fail,3.998236289,Air,Route A,797.1356827
SKU109,skincare,38.58269454,96,463,17863.78757,Non-binary,12,18-01-2018,8,72,08-02-2018,7,Carrier B,2.417518027,Supplier 1,Bangalore,14,559,8,103.6345735,Pass,2.319773455,Sea,Route B,117.7135185
SKU110,haircare,69.39817625,16,617,42818.67475,Unknown,62,21-01-2018,9,54,26-02-2018,6,Carrier B,1.305422909,Supplier 2,Chennai,30,927,2,40.64345374,Fail,0.358523534,Rail,Route B,218.5052643
SKU111,cosmetics,3.285137028,101,997,3275.281617,Unknown,69,29-12-2018,27,68,18-01-2019,9,Carrier B,6.864651888,Supplier 2,Delhi,11,910,13,55.89738692,Pass,1.488558063,Rail,Route B,763.9543649
SKU112,cosmetics,99.032469,90,480,47535.58512,Non-binary,52,06-08-2016,30,81,03-09-2016,9,Carrier A,7.163389114,Supplier 1,Bangalore,19,183,14,57.41511469,Pending,3.084098997,Rail,Route B,613.0913996
SKU113,haircare,42.58937902,69,134,5706.976788,Male,76,02-06-2018,11,52,26-06-2018,3,Carrier C,2.430911238,Supplier 4,Kolkata,21,963,26,82.74086096,Pending,3.492255403,Road,Route B,451.1319293
SKU114,cosmetics,2.235216586,8,400,894.0866346,Female,43,29-05-2019,16,22,17-06-2019,4,Carrier B,9.212613215,Supplier 1,Mumbai,15,124,9,63.99120185,Fail,0.804874085,Air,Route A,133.8438063
SKU115,cosmetics,87.70275585,10,448,39290.83462,Female,44,10-11-2018,27,82,20-11-2018,8,Carrier C,5.043371526,Supplier 1,Delhi,2,363,1,53.43000342,Pass,0.504622819,Sea,Route C,547.8904987
SKU116,haircare,11.14933664,2,602,6711.900659,Unknown,35,15-10-2016,27,88,27-10-2016,9,Carrier B,3.468460455,Supplier 5,Mumbai,3,195,24,28.43245145,Pending,0.386917204,Air,Route A,683.1850755
SKU117,cosmetics,86.42670586,19,91,7864.830233,Unknown,101,11-03-2020,23,4,15-04-2020,6,Carrier C,2.460244662,Supplier 5,Delhi,29,186,26,12.92454141,Pass,2.886224851,Rail,Route A,307.091094
SKU118,haircare,90.03586881,11,343,30882.303,Male,59,10-01-2017,15,46,10-02-2017,4,Carrier B,6.067884832,Supplier 2,Bangalore,27,196,7,14.71719244,Pass,1.908163918,Rail,Route A,619.4933021
SKU119,haircare,62.59756153,93,111,6948.32933,Unknown,66,12-08-2016,17,62,04-09-2016,1,Carrier C,7.47594612,Supplier 4,Chennai,22,862,18,35.43033384,Fail,4.066230783,Air,Route A,751.3312863
SKU120,haircare,81.88978498,27,30,2456.693549,Non-binary,32,14-11-2020,15,11,28-11-2020,3,Carrier C,6.405572404,Supplier 2,Mumbai,11,125,20,21.18181933,Fail,1.81290898,Rail,Route B,828.976589
SKU121,haircare,26.21092071,76,865,22672.44641,Non-binary,82,10-03-2020,30,2,05-04-2020,8,Carrier B,3.677250506,Supplier 3,Chennai,18,839,26,83.5526781,Pending,3.626558024,Road,Route B,369.2538069
